Date,context.product_china_bid,context.product_china_ask,context.product_abroad_bid,context.product_abroad_ask,product_currency_bid,product_currency_ask,product_arbitrage_price_bid,product_arbitrage_price_ask,product_arbitrage_price
2019.02.21D24:06:01.000,16810,16820,2042.5,2043.0,6.501849787139893,6.501949787139893,-1016.9718097667684,-1005.0165848731996,-1010.9942098199845
2019.02.21D24:07:00.500,16810,16820,2043.0,2043.5,6.501249687576294,6.501349687576294,-1014.9468882816307,-1002.9919134378433,-1008.9694133597368
2019.02.21D24:08:00.000,16810,16830,2041.0,2042.0,6.501399891281128,6.501499891281128,-1036.142821895217,-1012.4372220039368,-1024.2900469495762
2019.02.21D24:09:00.000,16810,16820,2038.5,2039.5,6.501250402832032,6.501350402832031,-1044.2010538269044,-1028.9958534240725,-1036.5984786254885
2019.02.21D24:10:02.000,16810,16830,2038.5,2039.5,6.500650303268433,6.500750303268433,-1053.9243567873,-1030.2197564840317,-1042.072081635666
2019.02.21D24:11:00.500,16820,16830,2039.0,2039.5,6.501399891281128,6.501499891281128,-1049.1456216777806,-1037.1909717321396,-1043.1683092049589
2019.02.21D24:12:03.500,16810,16830,2038.5,2039.0,6.500050203704834,6.500150203704834,-1055.1476597476958,-1034.6937346458437,-1044.9207096967693
2019.02.21D24:13:02.500,16820,16830,2038.0,2039.0,6.500500099563599,6.500600099563599,-1057.4807970893853,-1042.2763969898224,-1049.8786220396032
2019.02.21D24:14:02.500,16810,16830,2038.5,2039.5,6.500199692153932,6.5002996921539316,-1054.8429275442122,-1031.1387778520584,-1042.9908776981356
2019.02.21D24:15:02.500,16810,16830,2038.0,2039.0,6.500349895858765,6.500449895858765,-1057.786912239837,-1034.0826623439787,-1045.9348122919073
2019.02.21D24:16:09.500,16820,16830,2040.0,2042.0,6.500049488449098,6.500149488449098,-1045.3990435638423,-1023.6947445869446,-1034.5469440753932
2019.02.21D24:17:06.500,16820,16830,2041.0,2042.0,6.500049488449098,6.500149488449098,-1038.8989940753927,-1023.6947445869446,-1031.296894331168
2019.02.21D24:18:04.000,16820,16830,2041.0,2042.0,6.500349895858765,6.500449895858765,-1038.2858625522604,-1023.0813126564026,-1030.6836126043308
2019.02.21D24:19:00.000,16810,16830,2039.5,2040.5,6.500050203704834,6.500150203704834,-1048.6476095439903,-1024.9435093402865,-1036.7955844421376
2019.02.21D24:20:02.000,16810,16830,2039.0,2040.5,6.500200407409668,6.500300407409668,-1051.5913692916872,-1024.6370186805723,-1038.1142314861302
2019.02.21D24:21:01.500,16810,16830,2039.0,2040.0,6.500650303268433,6.500750303268433,-1050.6740316356663,-1026.9693813323977,-1038.8217314840313
2019.02.21D24:22:07.500,16810,16830,2037.5,2038.5,6.500050203704834,6.500150203704834,-1061.6477099513997,-1037.9438097476962,-1049.795784849548
2019.02.21D24:23:01.500,16810,16820,2036.5,2037.0,6.500199692153932,6.5002996921539316,-1059.3433269285197,-1047.3895270824432,-1053.366439505482
2019.02.21D24:24:47.000,16810,16820,2036.5,2037.0,6.500500099563599,6.500600099563599,-1058.7315472387309,-1046.7775971889496,-1052.7545847138408
2019.02.21D24:25:02.000,16810,16820,2037.5,2038.5,6.500199692153932,6.5002996921539316,-1052.843127236365,-1037.6390775442123,-1045.241127390289
2019.02.21D24:26:48.500,16810,16820,2037.0,2038.0,6.500049488449098,6.500149488449098,-1056.39919202919,-1041.195342540741,-1048.7972922849658
2019.02.21D24:27:09.500,16810,16820,2037.0,2038.0,6.500500814819336,6.500600814819336,-1055.4798402130127,-1040.2755393981934,-1047.877714805603
